epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1649.7,0.7513,3.3514,0.32912,0.44835,1.03775,0.8928,0.91139,0.93391,0.55585,0.59236,0.49367,0.46522,0.15607,1.44156,4.86724,0.57125,0.82315,2.18901,0.003004,0.003004,0.003004
108,1664.7,0.7537,3.29224,0.3172,0.45515,1.02942,0.86036,0.93038,0.94247,0.56913,0.62785,0.60759,0.52483,0.17378,1.38188,4.54884,0.53022,0.81036,2.10344,0.002938,0.002938,0.002938
109,1679.87,0.75852,3.32867,0.32993,0.45625,1.0412,0.85554,0.94304,0.92222,0.57843,0.61995,0.48101,0.42893,0.15786,1.3518,4.93644,0.55884,0.76097,2.12394,0.002872,0.002872,0.002872
110,1694.79,0.7538,3.31938,0.31915,0.45835,1.04876,0.85249,0.93038,0.92284,0.55342,0.67157,0.43671,0.43705,0.14435,1.47795,5.08069,0.71019,0.80499,2.30539,0.002806,0.002806,0.002806
111,1709.99,0.7439,3.24282,0.32139,0.44209,1.04739,0.90077,0.86177,0.93912,0.58527,0.57462,0.53165,0.4597,0.15295,1.39013,4.75661,0.58348,0.79061,2.08666,0.00274,0.00274,0.00274
112,1725.05,0.76135,3.20262,0.31041,0.45862,1.05364,0.85419,0.87342,0.90392,0.56556,0.599,0.57595,0.47877,0.15121,1.43306,4.814,0.5584,0.8331,2.15509,0.002674,0.002674,0.002674
113,1740.38,0.75977,3.30091,0.32146,0.45753,1.05162,0.83879,0.89873,0.92731,0.55916,0.6295,0.57595,0.54102,0.17139,1.38596,4.56694,0.55816,0.84817,2.12954,0.002608,0.002608,0.002608
114,1755.33,0.72701,3.22793,0.32497,0.43806,1.03521,0.84714,0.87342,0.9185,0.57436,0.65251,0.58228,0.54366,0.17448,1.36873,4.64048,0.58073,0.8482,2.10997,0.002542,0.002542,0.002542
115,1771.02,0.7521,3.14754,0.3108,0.45215,1.03949,0.87031,0.88608,0.92192,0.58925,0.65308,0.58383,0.55747,0.18531,1.33143,4.49967,0.535,0.78887,2.06576,0.002476,0.002476,0.002476
116,1786.42,0.74348,3.19862,0.31759,0.44045,1.03537,0.85206,0.92405,0.94572,0.59521,0.64347,0.58861,0.54188,0.18155,1.30528,4.4113,0.56336,0.73696,2.0217,0.00241,0.00241,0.00241
117,1802.09,0.72062,3.07616,0.31856,0.44119,1.02923,0.89977,0.89241,0.93527,0.56653,0.66763,0.60759,0.53911,0.17873,1.4055,4.58443,0.57092,0.79197,2.14118,0.002344,0.002344,0.002344
118,1817.34,0.7382,3.11118,0.31431,0.44043,1.04073,0.90507,0.92405,0.94657,0.57919,0.62072,0.60127,0.56429,0.18549,1.36598,4.41378,0.57771,0.79148,2.12962,0.002278,0.002278,0.002278
119,1832.38,0.74294,3.22337,0.30972,0.45035,1.03374,0.86018,0.91139,0.92866,0.57003,0.61172,0.58228,0.50665,0.17394,1.37777,4.60561,0.5684,0.80873,2.15474,0.002212,0.002212,0.002212
120,1847.56,0.72538,3.09309,0.30376,0.43222,1.04228,0.92109,0.85443,0.9187,0.57407,0.64618,0.56962,0.50141,0.17304,1.37757,4.61871,0.61616,0.80828,2.12892,0.002146,0.002146,0.002146
121,1863.33,0.74167,3.17934,0.30734,0.44885,1.04395,0.93437,0.89241,0.94185,0.60908,0.66564,0.57595,0.5135,0.16836,1.31091,4.56945,0.60258,0.77719,2.04961,0.00208,0.00208,0.00208
122,1878.44,0.71746,3.14392,0.32684,0.43685,1.04115,0.89463,0.89241,0.93439,0.58552,0.67023,0.58861,0.55722,0.18142,1.33325,4.34032,0.57779,0.78557,2.07979,0.002014,0.002014,0.002014
123,1893.69,0.72963,3.19821,0.30784,0.45466,1.03677,0.86081,0.9003,0.92536,0.57301,0.58202,0.5443,0.50198,0.16047,1.35882,4.5116,0.55387,0.79602,2.09562,0.001948,0.001948,0.001948
124,1908.57,0.71062,3.06477,0.30422,0.43853,1.02698,0.83066,0.93139,0.92292,0.54743,0.59002,0.55696,0.49525,0.17302,1.38051,4.46884,0.55996,0.81748,2.12267,0.001882,0.001882,0.001882
125,1923.81,0.70965,3.07366,0.30986,0.43266,1.04192,0.84238,0.91328,0.91054,0.55662,0.622,0.59494,0.53113,0.18331,1.36066,4.40501,0.58283,0.78452,2.15024,0.001816,0.001816,0.001816
126,1939.06,0.70599,3.05467,0.31035,0.43502,1.03177,0.91803,0.88608,0.94162,0.58919,0.65822,0.64603,0.58894,0.20482,1.34105,4.31808,0.53241,0.75554,2.10725,0.00175,0.00175,0.00175
127,1954.09,0.70441,2.97065,0.30916,0.43332,1.03102,0.8962,0.87432,0.93928,0.57429,0.61602,0.56329,0.51415,0.19527,1.34378,4.3499,0.54325,0.74956,2.07726,0.001684,0.001684,0.001684
128,1969.07,0.70801,2.95453,0.30697,0.42724,1.02374,0.85752,0.91419,0.92511,0.57538,0.60987,0.58228,0.52276,0.19141,1.34381,4.4037,0.57985,0.76969,2.07717,0.001618,0.001618,0.001618
129,1984.07,0.72262,3.0539,0.30703,0.43237,1.03092,0.85547,0.91139,0.93984,0.58089,0.6322,0.53165,0.50182,0.18295,1.37964,4.51235,0.5525,0.79354,2.14686,0.001552,0.001552,0.001552
130,1999.12,0.68846,2.90651,0.30713,0.42247,1.01613,0.91214,0.91986,0.94643,0.56911,0.59141,0.55884,0.51546,0.18428,1.36655,4.47109,0.568,0.78144,2.16557,0.001486,0.001486,0.001486
131,2014.14,0.70541,2.97624,0.31195,0.42596,1.02593,0.87481,0.93038,0.93966,0.59016,0.60337,0.57595,0.53741,0.17828,1.34458,4.48998,0.54786,0.76553,2.1124,0.00142,0.00142,0.00142
132,2029.4,0.69132,2.97639,0.30876,0.42941,1.01264,0.8956,0.89873,0.93911,0.59579,0.6454,0.63291,0.58073,0.19844,1.30447,4.28558,0.54292,0.74125,2.05304,0.001354,0.001354,0.001354
133,2044.42,0.6932,2.91983,0.31106,0.42259,1.02071,0.83742,0.88608,0.90297,0.55909,0.64058,0.48734,0.47891,0.17377,1.41975,4.58413,0.60182,0.85818,2.24681,0.001288,0.001288,0.001288
134,2060.02,0.6858,2.83354,0.30516,0.41358,1.01884,0.86274,0.91498,0.94145,0.59029,0.68234,0.53022,0.51861,0.17973,1.34212,4.42547,0.56917,0.74488,2.11665,0.001222,0.001222,0.001222
135,2075.26,0.69079,2.89116,0.31159,0.42152,1.02022,0.83536,0.90506,0.91056,0.57002,0.66052,0.53797,0.52776,0.18368,1.355,4.36647,0.54575,0.7658,2.16286,0.001156,0.001156,0.001156
136,2090.42,0.6684,2.8507,0.30208,0.41102,1.00106,0.87066,0.89241,0.92655,0.58192,0.63795,0.58861,0.53154,0.19252,1.33913,4.24715,0.54144,0.7554,2.12879,0.00109,0.00109,0.00109
137,2105.92,0.68716,2.84139,0.31003,0.41965,1.01173,0.90331,0.91772,0.93485,0.60803,0.63832,0.59204,0.55202,0.20501,1.30104,4.12935,0.53693,0.69375,2.02677,0.001024,0.001024,0.001024
138,2121.38,0.69032,2.83654,0.31246,0.41842,1.02832,0.89308,0.90506,0.93898,0.6055,0.66339,0.57595,0.54632,0.20761,1.28416,4.21618,0.54415,0.72671,2.0087,0.000958,0.000958,0.000958
139,2136.4,0.68103,2.80969,0.30873,0.42022,1.01341,0.87967,0.87342,0.91525,0.58255,0.64368,0.56023,0.54472,0.20037,1.31559,4.31475,0.55125,0.75507,2.07653,0.000892,0.000892,0.000892
140,2151.41,0.6744,2.93801,0.30916,0.41973,1.01807,0.90996,0.89553,0.94312,0.60241,0.67281,0.61392,0.58095,0.20248,1.29743,4.24808,0.53936,0.72223,2.05312,0.000826,0.000826,0.000826
141,2180.46,0.53845,2.21432,0.28536,0.34907,0.97676,0.88968,0.92405,0.92746,0.60614,0.67363,0.66625,0.59937,0.22151,1.24453,4.19179,0.52077,0.704,1.96178,0.00076,0.00076,0.00076
142,2195.2,0.52955,2.15878,0.27449,0.33955,0.9673,0.85785,0.89873,0.92781,0.58825,0.72965,0.59494,0.58456,0.22171,1.32241,4.15889,0.49074,0.72447,2.05459,0.000694,0.000694,0.000694
143,2209.62,0.52225,2.12377,0.2707,0.32592,0.96069,0.90018,0.93038,0.96543,0.62904,0.70731,0.63924,0.59783,0.23271,1.23809,3.97502,0.47628,0.68681,1.92302,0.000628,0.000628,0.000628
144,2224.12,0.51993,2.09702,0.26545,0.31448,0.94779,0.92982,0.92241,0.9633,0.62586,0.68228,0.63878,0.58678,0.23151,1.28075,4.05387,0.45165,0.6844,2.00345,0.000562,0.000562,0.000562
145,2238.34,0.52155,2.09139,0.26956,0.31821,0.94908,0.9258,0.90506,0.96421,0.64232,0.70522,0.65823,0.6224,0.24226,1.2267,3.95728,0.44085,0.66349,1.94174,0.000496,0.000496,0.000496
146,2252.84,0.52206,2.08473,0.27397,0.31268,0.9612,0.94042,0.93038,0.96841,0.64457,0.7301,0.68354,0.65116,0.25775,1.23509,3.92466,0.42473,0.65479,1.95891,0.00043,0.00043,0.00043
147,2267.39,0.50141,2.02746,0.26451,0.30915,0.95324,0.93908,0.94304,0.96704,0.64718,0.7117,0.68354,0.6429,0.25243,1.2196,3.87663,0.43204,0.65839,1.94213,0.000364,0.000364,0.000364
148,2282.25,0.49473,2.02617,0.26508,0.3034,0.94293,0.92763,0.94937,0.965,0.64512,0.71113,0.6962,0.65903,0.25216,1.22797,3.92078,0.44153,0.66855,1.94426,0.000298,0.000298,0.000298
149,2296.69,0.50502,2.05245,0.27494,0.30554,0.94824,0.93012,0.92661,0.96431,0.64928,0.72796,0.70886,0.68047,0.262,1.23357,3.87462,0.44289,0.66428,1.94858,0.000232,0.000232,0.000232
150,2311.05,0.49784,2.06701,0.2656,0.30529,0.93795,0.9431,0.94421,0.96702,0.64931,0.73249,0.69322,0.66532,0.2591,1.24339,3.92773,0.44442,0.665,1.96638,0.000166,0.000166,0.000166
